Loading model from train_sessions\train_sess_1\trained_models\lenet_pruned_1420step_0.9481accuracy.torchmodel
Initial accuracy = 0.9462
Pruning Threshold = 0.30220787320286036
Number of pruned params = 4353 out of 61706 total params
Fraction of params pruned = 7.054419343337763%
Fraction of zero params = 93.3215570609017%
Accuracy after pruning = 0.3191
Iter 458, loss = 1.6472318172454834
Iter 459, loss = 1.5159791707992554
Iter 460, loss = 1.6136661767959595
Iter 461, loss = 1.7601195573806763
Iter 462, loss = 1.7623751163482666
Iter 463, loss = 1.5026817321777344
Iter 464, loss = 1.4243175983428955
Iter 465, loss = 1.6337393522262573
Iter 466, loss = 1.3442134857177734
Iter 467, loss = 1.8335134983062744
Iter 468, loss = 1.581518530845642
Iter 469, loss = 1.4212965965270996
Iter 470, loss = 1.6341310739517212
Iter 471, loss = 1.4562381505966187
Iter 472, loss = 1.7656527757644653
Iter 473, loss = 1.4268319606781006
Iter 474, loss = 1.7258416414260864
Iter 475, loss = 1.7897075414657593
Iter 476, loss = 1.5944602489471436
Iter 477, loss = 1.524491310119629
Iter 478, loss = 1.6732397079467773
Iter 479, loss = 1.6744977235794067
Iter 480, loss = 1.3598051071166992
Iter 481, loss = 1.4814205169677734
Iter 482, loss = 1.6596629619598389
Iter 483, loss = 1.39763605594635
Iter 484, loss = 1.7988003492355347
Iter 485, loss = 1.447434425354004
Iter 486, loss = 1.5204986333847046
Iter 487, loss = 1.5788382291793823
Iter 488, loss = 1.6181368827819824
Iter 489, loss = 1.568392038345337
Iter 490, loss = 1.6100822687149048
Iter 491, loss = 1.591693639755249
Iter 492, loss = 1.4570423364639282
Iter 493, loss = 1.5836466550827026
Iter 494, loss = 1.8466860055923462
Iter 495, loss = 1.4862165451049805
Iter 496, loss = 1.8163622617721558
Iter 497, loss = 1.588783621788025
Iter 498, loss = 1.3600431680679321
Iter 499, loss = 1.370212197303772
Iter 500, loss = 1.664177417755127
Iter 501, loss = 1.815773606300354
Iter 502, loss = 1.645654559135437
Iter 503, loss = 1.675266146659851
Iter 504, loss = 1.7668185234069824
Iter 505, loss = 1.5029999017715454
Iter 506, loss = 1.75968599319458
Iter 507, loss = 1.5159823894500732
Iter 508, loss = 1.5422663688659668
Iter 509, loss = 1.584010124206543
Iter 510, loss = 1.5097401142120361
Iter 511, loss = 1.4430373907089233
Iter 512, loss = 1.67745840549469
Iter 513, loss = 1.5519676208496094
Iter 514, loss = 1.7187296152114868
Iter 515, loss = 1.556321382522583
Iter 516, loss = 1.6103019714355469
Iter 517, loss = 1.7001750469207764
Iter 518, loss = 1.7324779033660889
Iter 519, loss = 1.6345760822296143
Iter 520, loss = 1.5186434984207153
Iter 521, loss = 1.405646562576294
Iter 522, loss = 1.6917905807495117
Iter 523, loss = 1.4472007751464844
Iter 524, loss = 1.6892223358154297
Iter 525, loss = 1.3951724767684937
Iter 526, loss = 1.5613691806793213
Iter 527, loss = 1.4422301054000854
Iter 528, loss = 1.436028003692627
Iter 529, loss = 1.5372421741485596
Iter 530, loss = 1.5281286239624023
Iter 531, loss = 1.6158756017684937
Iter 532, loss = 1.602440357208252
Iter 533, loss = 1.3392057418823242
Iter 534, loss = 1.6591291427612305
Iter 535, loss = 1.8061814308166504
Iter 536, loss = 1.488606333732605
Iter 537, loss = 1.599181056022644
Iter 538, loss = 1.7372791767120361
Iter 539, loss = 1.7017250061035156
Iter 540, loss = 1.6458159685134888
Iter 541, loss = 1.6895668506622314
Iter 542, loss = 1.6923915147781372
Iter 543, loss = 1.3513002395629883
Iter 544, loss = 1.6822117567062378
Iter 545, loss = 1.5262454748153687
Iter 546, loss = 1.309409260749817
Iter 547, loss = 1.7636134624481201
Iter 548, loss = 1.6611030101776123
Iter 549, loss = 1.6105027198791504
Iter 550, loss = 1.4338322877883911
Iter 551, loss = 1.6054577827453613
Iter 552, loss = 1.7156158685684204
Iter 553, loss = 1.5966624021530151
Iter 554, loss = 1.317665934562683
Iter 555, loss = 1.4202296733856201
Iter 556, loss = 1.5277913808822632
Iter 557, loss = 1.4572701454162598
Iter 558, loss = 1.475027322769165
Iter 559, loss = 1.6923261880874634
Iter 560, loss = 1.5884097814559937
Iter 561, loss = 1.8379675149917603
Iter 562, loss = 1.7597318887710571
Iter 563, loss = 1.6720502376556396
Iter 564, loss = 1.769147515296936
Iter 565, loss = 1.6896947622299194
Iter 566, loss = 1.4603655338287354
Iter 567, loss = 1.5436737537384033
Iter 568, loss = 1.4728373289108276
Iter 569, loss = 1.67486572265625
Iter 570, loss = 1.6492856740951538
Iter 571, loss = 1.4712498188018799
Iter 572, loss = 1.5596015453338623
Iter 573, loss = 1.3204368352890015
Iter 574, loss = 1.6910603046417236
Iter 575, loss = 1.4342312812805176
Iter 576, loss = 1.3789057731628418
Iter 577, loss = 1.5540368556976318
Iter 578, loss = 1.4899736642837524
Iter 579, loss = 1.3557860851287842
Iter 580, loss = 1.4461390972137451
Iter 581, loss = 1.7031129598617554
Iter 582, loss = 1.4666619300842285
Iter 583, loss = 1.916045904159546
Iter 584, loss = 1.4164958000183105
Iter 585, loss = 1.6330844163894653
Iter 586, loss = 1.653533935546875
Iter 587, loss = 1.6320751905441284
Iter 588, loss = 1.7272531986236572
Iter 589, loss = 1.5032000541687012
Iter 590, loss = 1.7179303169250488
Iter 591, loss = 1.4856178760528564
Iter 592, loss = 1.5158615112304688
Iter 593, loss = 1.389939308166504
Iter 594, loss = 1.4563168287277222
Iter 595, loss = 1.8243719339370728
Iter 596, loss = 1.586090087890625
Iter 597, loss = 1.4236223697662354
Iter 598, loss = 1.6460692882537842
Iter 599, loss = 1.6375126838684082
Iter 600, loss = 1.3864402770996094
Iter 601, loss = 1.3699102401733398
Iter 602, loss = 1.5478570461273193
Iter 603, loss = 1.4146358966827393
Iter 604, loss = 1.4106310606002808
Iter 605, loss = 1.3735032081604004
Iter 606, loss = 1.7268612384796143
Iter 607, loss = 1.4963573217391968
Iter 608, loss = 1.5787773132324219
Iter 609, loss = 1.5480042695999146
Iter 610, loss = 1.6561262607574463
Iter 611, loss = 1.4884973764419556
Iter 612, loss = 1.5881372690200806
Iter 613, loss = 1.7147854566574097
Iter 614, loss = 1.5883734226226807
Iter 615, loss = 1.4686998128890991
Iter 616, loss = 1.4177985191345215
Iter 617, loss = 1.5756335258483887
Iter 618, loss = 1.7313152551651
Iter 619, loss = 1.6044622659683228
Iter 620, loss = 1.5020813941955566
Iter 621, loss = 1.3901478052139282
Iter 622, loss = 1.5328871011734009
Iter 623, loss = 1.497890830039978
Iter 624, loss = 1.5325901508331299
Iter 625, loss = 1.6358948945999146
Iter 626, loss = 1.5861542224884033
Iter 627, loss = 1.5373201370239258
Iter 628, loss = 1.7102525234222412
Iter 629, loss = 1.683555245399475
Iter 630, loss = 1.4776450395584106
Iter 631, loss = 1.5009331703186035
Iter 632, loss = 1.5718374252319336
Iter 633, loss = 1.5681710243225098
Iter 634, loss = 1.6008312702178955
Iter 635, loss = 1.353049874305725
Iter 636, loss = 1.6338188648223877
Iter 637, loss = 1.4062291383743286
Iter 638, loss = 1.5599299669265747
Iter 639, loss = 1.517276406288147
Iter 640, loss = 1.614877700805664
Iter 641, loss = 1.4007806777954102
Iter 642, loss = 1.586495280265808
Iter 643, loss = 1.56534743309021
Iter 644, loss = 1.3401007652282715
Iter 645, loss = 1.362818956375122
Iter 646, loss = 1.2491456270217896
Iter 647, loss = 1.4488755464553833
Iter 648, loss = 1.4067399501800537
Iter 649, loss = 1.6843143701553345
Iter 650, loss = 1.4338841438293457
Iter 651, loss = 1.4700853824615479
Iter 652, loss = 1.5178676843643188
Iter 653, loss = 1.539859414100647
Iter 654, loss = 1.6245741844177246
Iter 655, loss = 1.6679036617279053
Iter 656, loss = 1.2916035652160645
Iter 657, loss = 1.4547245502471924
Iter 658, loss = 1.5655441284179688
Iter 659, loss = 1.5036869049072266
Iter 660, loss = 1.2932202816009521
Iter 661, loss = 1.4949020147323608
Iter 662, loss = 1.6472002267837524
Iter 663, loss = 1.3415676355361938
Iter 664, loss = 1.3428945541381836
Iter 665, loss = 1.4895641803741455
Iter 666, loss = 1.735757827758789
Iter 667, loss = 1.2153385877609253
Iter 668, loss = 1.540101408958435
Iter 669, loss = 1.4993011951446533
Iter 670, loss = 1.8482352495193481
Iter 671, loss = 1.4733895063400269
Iter 672, loss = 1.5288162231445312
Iter 673, loss = 1.1423817873001099
Iter 674, loss = 1.5813568830490112
Iter 675, loss = 1.541786551475525
Iter 676, loss = 1.3618414402008057
Iter 677, loss = 1.5469801425933838
Iter 678, loss = 1.427812099456787
Iter 679, loss = 1.2817918062210083
Iter 680, loss = 1.6215553283691406
Iter 681, loss = 1.5399348735809326
Iter 682, loss = 1.5640636682510376
Iter 683, loss = 1.3490266799926758
Iter 684, loss = 1.5783820152282715
Iter 685, loss = 1.3482463359832764
Iter 686, loss = 1.6355695724487305
Iter 687, loss = 1.4194012880325317
Iter 688, loss = 1.2652524709701538
Iter 689, loss = 1.650744915008545
Iter 690, loss = 1.6227304935455322
Iter 691, loss = 1.3076863288879395
Iter 692, loss = 1.3744810819625854
Iter 693, loss = 1.3632527589797974
